,State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,Latitude,Longitude
510,Texas,Lubbock,2021,18,17,1,0,0,0,0,66,33,13,0,0,0,0,18,0,33.58553,-101.78698
34016,Texas,Lubbock,2020,352,329,23,0,0,0,0,81,40,20,0,0,0,0,352,0,33.58553,-101.78698
32978,Texas,Lubbock,2019,330,316,13,1,0,0,0,103,42,25,0,0,0,0,330,0,33.58553,-101.78698
31947,Texas,Lubbock,2018,303,275,27,1,0,0,0,134,49,25,0,0,0,0,303,0,33.58553,-101.78698
30926,Texas,Lubbock,2017,340,327,13,0,0,0,0,92,42,25,0,0,0,0,340,0,33.58553,-101.78698
29914,Texas,Lubbock,2016,119,118,1,0,0,0,0,54,33,21,0,0,0,0,119,0,33.58553,-101.78698
27922,Texas,Lubbock,2014,265,232,33,0,0,0,0,100,53,28,0,0,0,0,265,0,33.58553,-101.78698
26939,Texas,Lubbock,2013,334,310,23,0,1,0,0,165,45,26,0,0,0,0,334,0,33.58553,-101.78698
25958,Texas,Lubbock,2012,278,231,45,2,0,0,0,113,54,35,0,0,0,0,278,0,33.58553,-101.78698
24978,Texas,Lubbock,2011,320,268,49,3,0,0,0,136,58,31,0,0,0,0,320,0,33.58553,-101.78698
23997,Texas,Lubbock,2010,365,347,18,0,0,0,0,72,42,26,0,0,0,0,365,0,33.58553,-101.78698
23020,Texas,Lubbock,2009,340,313,26,1,0,0,0,114,47,28,0,0,0,0,340,0,33.58553,-101.78698
22043,Texas,Lubbock,2008,81,73,8,0,0,0,0,62,50,26,0,0,0,0,81,0,33.58553,-101.78698
19150,Texas,Lubbock,2005,171,130,41,0,0,0,0,81,56,33,0,0,0,0,171,0,33.58553,-101.78698
18193,Texas,Lubbock,2004,56,51,5,0,0,0,0,74,49,27,0,0,0,0,56,0,33.58553,-101.78698
17243,Texas,Lubbock,2003,60,53,7,0,0,0,0,80,54,29,0,0,0,0,60,0,33.58553,-101.78698
16302,Texas,Lubbock,2002,117,105,12,0,0,0,0,74,52,28,0,0,0,0,117,0,33.58553,-101.78698
15378,Texas,Lubbock,2001,124,112,12,0,0,0,0,77,50,28,0,0,0,0,109,15,33.58553,-101.78698
14468,Texas,Lubbock,2000,115,103,11,1,0,0,0,101,51,28,0,0,0,0,104,11,33.58553,-101.78698
13577,Texas,Lubbock,1999,71,71,0,0,0,0,0,46,38,19,0,0,0,0,22,49,33.58553,-101.78698
12727,Texas,Lubbock,1998,61,61,0,0,0,0,0,42,34,18,0,0,0,0,0,61,33.58553,-101.78698
11918,Texas,Lubbock,1997,100,100,0,0,0,0,0,36,25,13,0,0,0,0,0,100,33.58553,-101.78698
11105,Texas,Lubbock,1996,177,170,7,0,0,0,0,75,31,18,0,0,0,0,0,177,33.58553,-101.78698
10305,Texas,Lubbock,1995,246,218,20,3,2,1,2,498,54,19,0,0,0,0,0,246,33.58553,-101.78698
9516,Texas,Lubbock,1994,345,316,25,1,3,0,0,199,47,23,0,0,0,0,0,345,33.58553,-101.78698
8750,Texas,Lubbock,1993,163,161,2,0,0,0,0,82,28,17,0,0,0,0,0,163,33.58553,-101.78698
7995,Texas,Lubbock,1992,170,165,5,0,0,0,0,62,32,19,0,0,0,0,0,170,33.58553,-101.78698
7254,Texas,Lubbock,1991,171,167,4,0,0,0,0,95,36,21,0,0,0,0,0,171,33.58553,-101.78698
6535,Texas,Lubbock,1990,172,170,2,0,0,0,0,70,33,20,0,0,0,0,0,172,33.58553,-101.78698
5849,Texas,Lubbock,1989,164,142,21,0,0,0,1,399,52,30,0,0,0,0,0,164,33.58553,-101.78698
5203,Texas,Lubbock,1988,164,142,21,1,0,0,0,113,53,31,0,0,0,0,0,164,33.58553,-101.78698
4592,Texas,Lubbock,1987,132,119,13,0,0,0,0,81,50,29,0,0,0,0,0,132,33.58553,-101.78698
4014,Texas,Lubbock,1986,150,131,18,1,0,0,0,128,53,28,0,0,0,0,0,150,33.58553,-101.78698
3464,Texas,Lubbock,1985,59,52,7,0,0,0,0,60,51,32,0,0,0,0,0,59,33.58553,-101.78698
